Track Name,Artist Name,Album Name,Duration (ms),Popularity
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",Sachin-Jigar,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",266075,76
"O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",Pritam,"O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",313051,85
Maan Meri Jaan,King,Champagne Talk,194653,86
Kesariya,Pritam,Brahmastra (Original Motion Picture Soundtrack),268164,79
Obsessed,Riar Saab,Obsessed,190444,77
"Agar Tum Saath Ho (From ""Tamasha"")",Alka Yagnik,Love Forever With Arijit Singh,341054,79
Kahani Suno 2.0,Kaifi Khalil,Kahani Suno 2.0,173637,85
Malang Sajna,Sachet Tandon,Malang Sajna,161041,84
Kya Loge Tum,B Praak,Kya Loge Tum,233684,75
Tere Pyaar Mein,Pritam,"Tere Pyaar Mein (From ""Tu Jhoothi Main Makkaar"")",266094,84
"Tere Hawaale (From ""Laal Singh Chaddha"")",Pritam,"Tere Hawaale (From ""Laal Singh Chaddha"")",346290,78
Tu Aake Dekhle,King,The Carnival,270000,82
Jhoome Jo Pathaan,Vishal-Shekhar,Pathaan,208164,84
Daku,Chani Nattan,Daku,131077,82
Rubicon Drill,Laddi Chahal,Forever,188571,81
Baller,Shubh,Baller,148188,82
"Pyaar Hota Kayi Baar Hai (From ""Tu Jhoothi Main Makkaar"")",Pritam,"Pyaar Hota Kayi Baar Hai (From ""Tu Jhoothi Main Makkaar"")",216270,82
No Love,Shubh,No Love,170387,83
Mi Amor,Sharn,Mi Amor,203048,80
"Raataan Lambiyan (From ""Shershaah"")",Tanishk Bagchi,"Raataan Lambiyan (From ""Shershaah"")",230292,79
"Besharam Rang (From ""Pathaan"")",Vishal-Shekhar,"Besharam Rang (From ""Pathaan"")",258472,81
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",284779,77
"Ranjha (From ""Shershaah"")",Jasleen Royal,"Ranjha (From ""Shershaah"")",228855,80
Cupid - Twin Ver.,FIFTY FIFTY,The Beginning: Cupid,174253,98
"Kaise Hua (From ""Kabir Singh"")",Vishal Mishra,"Kaise Hua (From ""Kabir Singh"")",234722,75
Mann Mera,Gajendra Verma,Table No. 21 (Original Motion Picture Soundtrack),200120,77
Shayad,Pritam,Love Aaj Kal (Original Motion Picture Soundtrack),247941,78
"Humdard (From ""Ek Villain"")",Arijit Singh,Ultimate Love Songs - Arijit Singh,260590,74
SPAIN,Jassa Dhillon,VIBIN,104006,79
Chaand Baaliyan,Aditya A,Chaand Baaliyan,103264,80
Calm Down (with Selena Gomez),Rema,Rave & Roses Ultra,239317,80
Thaa,Varinder Brar,Thaa,181340,79
Manjha,Vishal Mishra,Manjha,191647,78
Starboy,The Weeknd,Starboy,230453,93
Tum Se Hi,Pritam,Jab We Met,321225,79
Deva Deva,Pritam,Brahmastra (Original Motion Picture Soundtrack),279107,67
Pal,Javed-Mohsin,Pal,247286,76
295,Sidhu Moose Wala,Moosetape,270000,79
People,Libianca,People,184791,93
Excuses,AP Dhillon,Excuses,176232,80
"Manike (From ""Thank God"")",Yohani,"Manike (From ""Thank God"")",197473,80
Rang Lageya,Mohit Chauhan,Rang Lageya,227962,78
Still Rollin,BlueListed Records,We Rolinn,171433,0
Jeena Jeena,Atif Aslam,Badlapur (Original Motion Picture Soundtrack),228969,77
Haryana Hood,Irshad Khan,Haryana Hood,211480,73
Haath Varthi,MC STAN,Haath Varthi,149570,75
Asal Mein,Darshan Raval,Asal Mein,224240,76
Baarishein,Anuv Jain,Baarishein,207309,78
Lemonade,Diljit Dosanjh,Drive Thru,166666,78
Bones,Imagine Dragons,Mercury - Acts 1 & 2,165264,87
