Track Name,Artist Name,Album Name,Duration (ms),Popularity,Duration_Minutes,Sentiment
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",Sachin-Jigar,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",266075,76,4.434583333333333,Neutral
"O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",Pritam,"O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",313051,85,5.217516666666667,Positive
Maan Meri Jaan,King,Champagne Talk,194653,86,3.2442166666666665,Neutral
Kesariya,Pritam,Brahmastra (Original Motion Picture Soundtrack),268164,79,4.4694,Neutral
Obsessed,Riar Saab,Obsessed,190444,77,3.1740666666666666,Negative
"Agar Tum Saath Ho (From ""Tamasha"")",Alka Yagnik,Love Forever With Arijit Singh,341054,79,5.684233333333333,Neutral
Kahani Suno 2.0,Kaifi Khalil,Kahani Suno 2.0,173637,85,2.89395,Neutral
Malang Sajna,Sachet Tandon,Malang Sajna,161041,84,2.6840166666666665,Neutral
Kya Loge Tum,B Praak,Kya Loge Tum,233684,75,3.8947333333333334,Neutral
Tere Pyaar Mein,Pritam,"Tere Pyaar Mein (From ""Tu Jhoothi Main Makkaar"")",266094,84,4.4349,Neutral
"Tere Hawaale (From ""Laal Singh Chaddha"")",Pritam,"Tere Hawaale (From ""Laal Singh Chaddha"")",346290,78,5.7715,Neutral
Tu Aake Dekhle,King,The Carnival,270000,82,4.5,Neutral
Jhoome Jo Pathaan,Vishal-Shekhar,Pathaan,208164,84,3.4694,Neutral
Daku,Chani Nattan,Daku,131077,82,2.184616666666667,Neutral
Rubicon Drill,Laddi Chahal,Forever,188571,81,3.14285,Neutral
Baller,Shubh,Baller,148188,82,2.4698,Neutral
"Pyaar Hota Kayi Baar Hai (From ""Tu Jhoothi Main Makkaar"")",Pritam,"Pyaar Hota Kayi Baar Hai (From ""Tu Jhoothi Main Makkaar"")",216270,82,3.6045,Positive
No Love,Shubh,No Love,170387,83,2.8397833333333335,Negative
Mi Amor,Sharn,Mi Amor,203048,80,3.384133333333333,Neutral
"Raataan Lambiyan (From ""Shershaah"")",Tanishk Bagchi,"Raataan Lambiyan (From ""Shershaah"")",230292,79,3.8382,Neutral
"Besharam Rang (From ""Pathaan"")",Vishal-Shekhar,"Besharam Rang (From ""Pathaan"")",258472,81,4.3078666666666665,Neutral
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",284779,77,4.746316666666667,Neutral
"Ranjha (From ""Shershaah"")",Jasleen Royal,"Ranjha (From ""Shershaah"")",228855,80,3.81425,Neutral
Cupid - Twin Ver.,FIFTY FIFTY,The Beginning: Cupid,174253,98,2.9042166666666667,Neutral
"Kaise Hua (From ""Kabir Singh"")",Vishal Mishra,"Kaise Hua (From ""Kabir Singh"")",234722,75,3.9120333333333335,Neutral
Mann Mera,Gajendra Verma,Table No. 21 (Original Motion Picture Soundtrack),200120,77,3.3353333333333333,Neutral
Shayad,Pritam,Love Aaj Kal (Original Motion Picture Soundtrack),247941,78,4.13235,Neutral
"Humdard (From ""Ek Villain"")",Arijit Singh,Ultimate Love Songs - Arijit Singh,260590,74,4.343166666666667,Neutral
SPAIN,Jassa Dhillon,VIBIN,104006,79,1.7334333333333334,Neutral
Chaand Baaliyan,Aditya A,Chaand Baaliyan,103264,80,1.7210666666666667,Neutral
Calm Down (with Selena Gomez),Rema,Rave & Roses Ultra,239317,80,3.9886166666666667,Positive
Thaa,Varinder Brar,Thaa,181340,79,3.0223333333333335,Neutral
Manjha,Vishal Mishra,Manjha,191647,78,3.1941166666666665,Neutral
Starboy,The Weeknd,Starboy,230453,93,3.840883333333333,Neutral
Tum Se Hi,Pritam,Jab We Met,321225,79,5.35375,Neutral
Deva Deva,Pritam,Brahmastra (Original Motion Picture Soundtrack),279107,67,4.651783333333333,Neutral
Pal,Javed-Mohsin,Pal,247286,76,4.121433333333333,Neutral
295,Sidhu Moose Wala,Moosetape,270000,79,4.5,Neutral
People,Libianca,People,184791,93,3.07985,Neutral
Excuses,AP Dhillon,Excuses,176232,80,2.9372,Neutral
"Manike (From ""Thank God"")",Yohani,"Manike (From ""Thank God"")",197473,80,3.2912166666666667,Neutral
Rang Lageya,Mohit Chauhan,Rang Lageya,227962,78,3.799366666666667,Neutral
Still Rollin,BlueListed Records,We Rolinn,171433,0,2.8572166666666665,Neutral
Jeena Jeena,Atif Aslam,Badlapur (Original Motion Picture Soundtrack),228969,77,3.81615,Neutral
Haryana Hood,Irshad Khan,Haryana Hood,211480,73,3.5246666666666666,Neutral
Haath Varthi,MC STAN,Haath Varthi,149570,75,2.4928333333333335,Neutral
Asal Mein,Darshan Raval,Asal Mein,224240,76,3.7373333333333334,Neutral
Baarishein,Anuv Jain,Baarishein,207309,78,3.45515,Neutral
Lemonade,Diljit Dosanjh,Drive Thru,166666,78,2.7777666666666665,Neutral
Bones,Imagine Dragons,Mercury - Acts 1 & 2,165264,87,2.7544,Neutral
